Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,25.52,-19.23,-28.57,-20.0,137.5,26.32,2.78,13.51,2.38,6.98,8.33
3-Year Average,-8.34,-3.06,-10.2,-22.72,10.72,33.89,45.55,13.8,6.1,7.53,
5-Year Average,22.25,14.02,-14.98,-12.24,6.59,6.72,11.99,22.87,29.08,10.05,
10-Year Average,-2.53,-4.13,-9.4,-11.2,8.15,14.22,13.0,2.21,6.43,8.31,
