Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,4.2,-4.27,7.65,6.8,-1.39,-2.12,-16.39,9.31,-22.43,99.85,
Free Cash Flow Growth % YOY,-2.49,-41.48,93.49,7.08,-2.68,-0.16,-24.48,6.01,-46.15,188.03,
Cap Ex as a % of Sales,8.5,14.49,6.46,6.64,6.47,5.91,6.34,7.32,7.24,6.9,6.63
Free Cash Flow/Sales %,19.33,10.7,20.83,21.64,19.96,19.84,14.5,15.2,6.38,14.34,16.65
Free Cash Flow/Net Income,0.97,0.52,1.19,1.53,1.17,1.18,0.86,0.99,2.6,3.6,1.98
