Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,36.6,0.55,54.26,30.44,14.49,10.27,20.33,11.8,13.18,19.15,
3-Year Average,119.2,42.35,28.44,26.48,32.07,18.09,14.96,14.05,15.04,14.66,
5-Year Average,111.36,109.14,74.84,42.15,25.91,20.63,25.04,17.24,13.96,14.87,
10-Year Average,,,,,106.27,59.68,61.71,43.17,27.28,20.26,
