Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,,92.6,4.04,21.61,19.03,37.28,7.87,25.23,72.79,-33.03,
Free Cash Flow Growth % YOY,,684.05,4.2,29.72,6.29,43.23,14.37,16.06,103.35,-35.45,
Cap Ex as a % of Sales,7.22,3.31,2.95,2.46,3.61,3.79,2.94,4.38,3.24,2.01,1.54
Free Cash Flow/Sales %,1.68,11.05,9.92,11.39,9.96,12.39,12.7,13.33,25.11,10.39,12.24
Free Cash Flow/Net Income,0.33,1.41,1.38,1.15,0.81,0.98,1.02,2.24,7.8,-0.14,-0.47
