Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,,,,,,,,100.0,100.0,100.0,100.0
COGS,,,,,,,,66.94,66.97,63.1,63.84
Gross Margin,,,,,,,,33.06,33.03,36.9,36.16
SG&A,,,,,,,,24.71,28.59,24.95,25.39
R&D,,,,,,,,,,,
Other,,,,,,,,1.45,1.47,1.07,0.44
Operating Margin,,,,,,,,8.26,3.9,12.05,12.24
Net Int Inc & Other,,,,,,,,,,,
EBT Margin,,,,,,,,8.26,3.9,12.05,12.24
