Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,,29.95,,,200.38,-80.51,-60.03,610.53,-93.05,,
Free Cash Flow Growth % YOY,,33.12,,,262.18,-94.69,,,,,
Cap Ex as a % of Sales,1.45,0.95,0.91,0.76,0.86,1.22,0.99,0.75,2.08,1.44,0.99
Free Cash Flow/Sales %,11.5,9.57,-9.14,2.15,6.95,0.39,-0.27,8.22,-0.27,-33.24,-44.56
Free Cash Flow/Net Income,1.87,-1.49,-18.63,0.63,1.28,0.11,-0.08,-12.46,,273.13,-1.25
