Key Efficiency Ratios,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Days Sales Outstanding,54.32,,,,,,,,,,
Days Inventory,,,,,,,,,,,
Payables Period,111.06,,,,,,,,,,
Cash Conversion Cycle,,,,,,,,,,,
Receivables Turnover,6.72,,,,,,,,,,
Inventory Turnover,,,,,,,,,,,
Fixed Assets Turnover,0.23,,,,,,,,,,
Asset Turnover,0.19,,,,,,,,,,
