Key Financials AUD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue AUD Mil,,,,,,,,,,,
Gross Margin %,,,,,,,,,,,
Operating Income AUD Mil,-1.0,-7.0,-3.0,-4.0,-7.0,-8.0,-7.0,-4.0,-3.0,-4.0,-4.0
Operating Margin %,,,,,,,,,,,
Net Income AUD Mil,2.0,-6.0,0.0,3.0,2.0,-7.0,-6.0,-2.0,-1.0,-4.0,-4.0
Earnings Per Share AUD,0.02,-0.05,,0.01,0.01,-0.03,-0.02,-0.01,,-0.01,-0.01
Dividends AUD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,133.0,126.0,234.0,241.0,241.0,241.0,241.0,201.0,356.0,556.0,556.0
Book Value Per Share * AUD,0.11,0.05,0.05,0.07,0.07,0.06,0.04,0.02,0.01,0.01,0.01
Operating Cash Flow AUD Mil,-1.0,-0.0,-1.0,-1.0,-2.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0
Cap Spending AUD Mil,-0.0,-0.0,-1.0,-2.0,-3.0,-3.0,-4.0,-1.0,-2.0,-2.0,-2.0
Free Cash Flow AUD Mil,-1.0,-1.0,-2.0,-3.0,-5.0,-4.0,-5.0,-3.0,-4.0,-4.0,-4.0
Free Cash Flow Per Share * AUD,,-0.01,-0.01,-0.01,-0.01,-0.02,-0.02,-0.02,-0.01,-0.01,
Working Capital AUD Mil,1.0,1.0,5.0,7.0,12.0,7.0,2.0,1.0,2.0,1.0,
