Key Financials AUD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue AUD Mil,7.0,6.0,7.0,7.0,9.0,7.0,8.0,7.0,4.0,4.0,4.0
Gross Margin %,63.7,73.0,53.7,51.7,56.4,48.9,59.1,51.4,52.5,63.2,63.2
Operating Income AUD Mil,0.0,-2.0,-1.0,-3.0,-0.0,-1.0,-1.0,-2.0,-4.0,-1.0,-1.0
Operating Margin %,0.1,-28.5,-9.6,-40.8,-3.1,-12.6,-11.2,-30.2,-83.3,-26.9,-26.9
Net Income AUD Mil,0.0,-1.0,-1.0,-3.0,-0.0,-1.0,-0.0,-1.0,-2.0,1.0,1.0
Earnings Per Share AUD,,-0.03,-0.02,-0.08,,-0.01,,-0.01,-0.03,0.01,0.01
Dividends AUD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,39.0,39.0,39.0,39.0,39.0,43.0,49.0,62.0,69.0,71.0,71.0
Book Value Per Share * AUD,0.24,0.22,0.19,0.11,0.09,,0.08,0.07,0.04,0.04,0.05
Operating Cash Flow AUD Mil,1.0,0.0,1.0,-1.0,0.0,1.0,-0.0,2.0,-1.0,0.0,0.0
Cap Spending AUD Mil,-1.0,-1.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Free Cash Flow AUD Mil,0.0,-1.0,-0.0,-2.0,0.0,0.0,-0.0,1.0,-1.0,-0.0,-0.0
Free Cash Flow Per Share * AUD,,-0.03,-0.01,-0.04,,,,0.02,-0.01,-0.01,
Working Capital AUD Mil,4.0,4.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,
