Key Revenue %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,4.42,-28.29,-45.88,-0.33,68.02,53.27,-17.7,-46.74,-22.51,160.48,
3-Year Average,-42.66,-22.98,-26.0,-27.14,-3.23,36.92,28.45,-12.41,-30.23,2.45,
5-Year Average,-30.14,-34.84,-40.73,-24.43,-7.46,-0.08,2.71,2.39,-2.64,6.28,
10-Year Average,-8.17,-17.08,-23.34,-25.57,-21.14,-16.45,-18.19,-22.1,-14.22,-0.83,
