Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,34.85,43.82,13.28,6.21,-10.39,5.07,-15.86,13.93,23.74,-30.23,6.98
3-Year Average,23.72,30.19,30.0,20.05,2.54,,-7.47,0.24,5.86,-0.55,
5-Year Average,25.03,32.16,25.27,21.57,15.9,10.25,-0.96,-0.84,2.24,-2.76,
10-Year Average,,21.59,,,21.16,17.41,14.41,11.45,11.48,6.16,
