Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,68.2,69.26,69.55,71.19,68.83,68.21,69.69,71.27,71.29,72.21,73.65
Gross Margin,31.8,30.74,30.45,28.81,31.17,31.79,30.31,28.73,28.71,27.79,26.35
SG&A,11.93,8.98,8.7,9.19,10.17,10.87,10.0,9.86,10.54,10.8,10.43
R&D,,,,,,,,,,,
Other,3.49,6.4,6.36,3.64,3.84,5.08,7.13,4.68,9.68,4.14,6.36
Operating Margin,16.38,15.35,15.39,15.98,17.15,15.84,13.18,14.19,8.49,12.85,9.57
Net Int Inc & Other,-4.46,-3.75,-2.98,-4.06,-3.54,-3.61,-3.61,-3.95,-3.25,-2.75,-2.7
EBT Margin,11.92,11.6,12.41,11.92,13.62,12.23,9.56,10.24,5.25,10.1,6.86
