Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,,,,-47.01,278.73,-14.0,-75.34,179.84,
3-Year Average,,,,,,-13.99,,19.96,-7.05,-15.96,
5-Year Average,,,,,,,,15.69,,3.56,
10-Year Average,,,,,,,,,,,
