Key Profitability,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Tax Rate %,,,,32.09,8.18,34.91,29.7,29.88,29.5,72.03,77.85
Net Margin %,,,,4.09,5.59,3.65,4.44,6.53,6.75,1.67,0.58
Asset Turnover (Average),,,,,1.86,2.01,1.83,1.71,1.59,0.55,0.71
Return on Assets %,,,,,10.41,7.36,8.14,11.18,10.71,0.92,0.41
Financial Leverage (Average),,,,,,,,,,2.46,3.09
Return on Equity %,,,,,,,,,,2.85,1.58
Return on Invested Capital %,,,,,,,,,,2.88,3.85
Interest Coverage,,,,2.71,2.69,2.99,3.62,5.99,6.3,4.33,1.93
