Key Revenue %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,801.91,,,1260.27,257.29,-62.31,3018.6,-5.74,18.48,-98.75,
3-Year Average,627.21,,-30.92,-20.78,,163.6,247.58,122.92,226.57,-75.94,
5-Year Average,,,69.66,594.82,74.16,-7.71,,251.74,115.89,-30.37,
10-Year Average,-8.9,,-44.3,-19.4,-7.71,,,144.29,287.3,10.12,
