Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,,,,613.0,,710.0,,,,,
Free Cash Flow Growth % YOY,,,,,,,,-404.0,,,
Cap Ex as a % of Sales,1.51,1.74,1.52,2.86,3.77,6.2,4.63,5.5,4.29,4.95,5.6
Free Cash Flow/Sales %,7.96,7.12,11.91,7.36,4.35,0.65,2.73,2.19,6.85,7.14,4.48
Free Cash Flow/Net Income,2.48,2.11,3.24,2.18,3.32,-10.13,7.41,-8.09,12.3,4.09,3.75
