Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,-0.18,,,-24.32,,,51.92,-4.78,-18.45,1.89,
3-Year Average,19.25,,-1.36,-10.05,,0.9,27.28,,5.66,-7.51,
5-Year Average,29.4,,10.28,,,-0.25,,8.24,9.87,,
10-Year Average,18.4,,17.71,12.6,,13.61,11.45,9.25,,1.71,
