Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,,,,,,,,,,,
Free Cash Flow Growth % YOY,,,,,,,,,,,
Cap Ex as a % of Sales,,,,,,,,10.56,8.44,9.79,12.69
Free Cash Flow/Sales %,,,,,,,,-44.27,-53.9,-55.32,-68.0
Free Cash Flow/Net Income,,,,,,,,0.94,0.76,1.07,1.04
