Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,1.6,14.91,10.86,16.8,9.46,-5.54,0.62,5.43,-27.83,-23.5,6.9
3-Year Average,-1.57,8.48,8.98,14.16,12.33,6.49,1.33,0.07,-8.52,-16.5,
5-Year Average,10.57,5.09,3.97,10.58,10.6,8.99,6.14,5.08,-4.57,-11.17,
10-Year Average,14.7,18.75,8.91,9.82,,9.78,5.61,4.52,2.73,-0.88,
