Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,,,,,-1.56,27.68,-20.26,-16.61,
3-Year Average,,,,,,34.9,,,0.07,-5.31,
5-Year Average,,,,,,,,25.27,,,
10-Year Average,,,,,,,,,,,
