Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,,,,,,756.0,-434.0,,,,
Free Cash Flow Growth % YOY,,,,,,,,,-871.0,,
Cap Ex as a % of Sales,128.11,66.86,41.87,49.68,45.59,41.81,30.04,27.02,31.85,31.6,33.99
Free Cash Flow/Sales %,-99.49,-28.89,-1.59,-16.84,-8.06,-8.33,-1.96,1.2,0.98,-3.46,-3.77
Free Cash Flow/Net Income,80.44,-1.89,-0.2,-5.46,-1.33,-1.12,-0.44,-0.11,0.14,-0.99,-0.68
