Key Revenue %,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Year over Year,,,5.72,-23.44,29.19,-25.59,-25.26,2.8,-37.17,-9.79,
3-Year Average,,,6.97,-7.11,1.5,-9.72,-10.44,-10.85,-14.13,-10.47,
5-Year Average,,,11.27,3.37,3.9,-5.08,-10.28,-7.8,-10.56,-15.36,
10-Year Average,,,9.55,4.87,9.7,7.85,-1.73,0.05,-4.75,-7.47,
