Key Profitability,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Tax Rate %,,,,,,,,,,,
Net Margin %,,,,,,-264.32,,,-667.83,-149.89,-254.32
Asset Turnover (Average),,,,,,0.03,0.08,0.03,0.07,1.59,0.29
Return on Assets %,,,,,,-7.6,-141.03,-35.47,-46.69,-237.65,-73.45
Financial Leverage (Average),,,,,,3.7,,,1.08,1.8,2.42
Return on Equity %,,,,,,-28.09,,,,-417.95,-122.02
Return on Invested Capital %,,,,,,-4.25,,,,-267.7,-100.87
Interest Coverage,,,,,,-0.2,-11.19,0.05,-1.14,,
