Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,17.33,14.24,-22.89,-6.08,2.23,41.56,34.11,8.03,12.48,0.86,
3-Year Average,24.03,19.04,1.11,-6.12,-9.54,10.77,24.73,27.05,17.68,7.01,
5-Year Average,,16.09,10.94,4.09,-0.15,3.67,7.04,14.51,18.72,18.4,
10-Year Average,7.64,7.69,3.4,2.0,,,11.48,12.71,11.16,8.73,
