Key Net Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,45.04,108.68,56.39,23.84,6.73,28.54,4.25,9.81,0.12,13.17,
3-Year Average,37.19,53.1,67.9,59.29,27.38,19.32,12.67,13.74,4.65,7.55,
5-Year Average,62.68,64.87,53.16,47.37,44.3,40.86,22.6,14.23,9.47,10.76,
10-Year Average,,,,,,51.37,42.17,32.27,27.01,26.42,
