Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,-23.91,6.69,-15.46,-28.56,6.45,-25.68,-30.56,115.08,-2.9,17.13,
3-Year Average,-7.92,-4.77,-11.79,-13.63,-13.69,-17.32,-18.1,3.54,13.19,34.74,
5-Year Average,-1.1,-2.36,-6.77,-12.2,-12.19,-12.61,-19.8,-3.33,2.79,4.77,
10-Year Average,15.17,16.39,17.04,8.41,-1.6,-7.03,-11.51,-5.07,-5.0,-4.09,
