Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,-43.82,,,105.36,-94.34,134.86,318.75,28.45,24.98,
3-Year Average,,-7.4,,-18.15,26.09,,-35.13,-17.74,132.9,88.73,
5-Year Average,,,,-4.97,4.89,-42.34,-23.24,,7.98,-2.23,
10-Year Average,,15.32,,-7.58,9.53,-8.64,,-2.29,1.3,1.27,
