Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,68.87,-36.01,,,2.92,,,,,
3-Year Average,,,28.28,,-44.58,-35.06,,-28.49,,,
5-Year Average,,,,,-10.9,-21.62,,-37.25,,,
10-Year Average,,,,,,-5.05,,,,,
