Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,37.09,49.88,-5.05,-6.67,49.52,-15.67,42.71,-11.36,4.71,16.53,
Free Cash Flow Growth % YOY,29.31,60.8,-8.53,-5.05,64.38,-18.31,45.88,-10.0,5.24,14.79,
Cap Ex as a % of Sales,5.07,4.99,5.84,4.09,2.61,2.75,2.88,2.02,1.74,2.19,2.15
Free Cash Flow/Sales %,20.4,30.48,28.05,21.8,32.57,23.89,31.78,27.15,25.24,25.71,28.17
Free Cash Flow/Net Income,-2.33,20.07,1.44,1.0,1.64,0.81,1.59,1.33,1.26,1.3,1.61
