Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,17.05,6.5,10.84,-4.45,0.35,25.13,16.21,-26.14,203.43,,
3-Year Average,3.62,10.2,11.38,4.09,2.05,6.26,13.42,2.41,37.59,,
5-Year Average,12.96,9.32,5.6,7.23,5.79,7.21,9.1,0.59,26.74,,
10-Year Average,83.87,50.29,22.24,18.58,12.87,10.05,9.21,3.07,16.58,,
