Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,,,,,,100.0,100.0,100.0,100.0,100.0,100.0
COGS,,,,,,,,,,,
Gross Margin,,,,,,100.0,100.0,,,,
SG&A,,,,,,65.42,66.24,60.41,59.8,60.97,61.64
R&D,,,,,,11.96,10.81,9.31,8.56,7.69,7.31
Other,,,,,,7.08,6.73,14.48,15.84,16.71,16.91
Operating Margin,,,,,,15.54,16.22,15.8,15.8,14.63,14.14
Net Int Inc & Other,,,,,,0.19,-0.1,-0.09,0.29,0.42,0.49
EBT Margin,,,,,,15.74,16.11,15.71,16.09,15.04,14.64
