Key EPS %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,-9.78,-67.47,366.67,32.54,7.19,4.47,15.51,26.39,10.99,7.59,16.67
3-Year Average,15.76,-27.03,11.05,26.24,87.86,14.07,8.95,15.11,17.45,14.71,
5-Year Average,12.78,-13.26,18.69,19.16,14.24,17.64,51.57,16.72,12.65,12.74,
10-Year Average,,,73.84,22.75,15.88,15.18,14.66,17.7,15.86,13.49,
