Key Efficiency Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Days Sales Outstanding,,,,,,,447.53,208.12,226.89,66.84,300.65
Days Inventory,,,,,,,2834.73,4146.21,6700.17,2259.72,2355.18
Payables Period,,,,,,,809.19,555.24,432.11,161.52,678.35
Cash Conversion Cycle,,,,,,,2473.07,3799.1,6494.95,2165.04,1977.48
Receivables Turnover,,,,,,,0.82,1.75,1.61,5.46,1.21
Inventory Turnover,,,,,,,0.13,0.08,0.05,0.16,0.15
Fixed Assets Turnover,,,,,,,0.04,0.06,0.07,0.19,0.19
Asset Turnover,,,,,,,0.01,0.01,0.01,0.07,0.07
