Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,,,,-69.85,,,,,3.23
3-Year Average,,,,,31.73,,,-11.27,,,
5-Year Average,,6.96,,,14.04,,,,,-1.83,
10-Year Average,,,,,,2.35,,,,5.81,
