Key EPS %,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Year over Year,,,,-73.34,369.82,,,,45.07,,
3-Year Average,,,,,,,,-49.54,,,
5-Year Average,,,,,,,,-30.61,-2.62,,
10-Year Average,,,,,,,,,,,
