Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,10.91,13.66,41.35,-25.17,27.27,-39.64,55.03,12.6,18.98,
3-Year Average,21.06,-10.59,,21.23,6.33,10.42,-16.85,6.0,1.75,27.59,
5-Year Average,15.58,3.38,17.47,2.81,,11.16,-1.58,4.72,0.07,9.79,
10-Year Average,,,16.8,26.97,12.63,13.35,0.87,10.91,1.43,,
