Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,-19.62,-10.12,80.79,47.25,25.93,20.44,9.59,-11.11,5.11,9.73,4.05
3-Year Average,43.1,17.96,9.31,33.75,49.67,30.72,18.46,5.47,0.79,0.83,
5-Year Average,11.69,9.33,36.63,34.3,19.36,29.41,34.65,16.82,9.21,6.24,
10-Year Average,23.72,16.31,16.1,16.95,23.23,20.22,21.33,26.34,21.11,12.61,
