Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,13.17,7.62,-27.36,45.83,3.07,-2.76,1.66,7.97,0.79,-7.84,15.35
3-Year Average,16.42,13.03,-4.0,4.46,2.97,13.48,0.63,2.2,3.42,0.1,
5-Year Average,17.91,16.5,4.29,8.87,5.86,2.7,1.54,9.91,2.09,-0.17,
10-Year Average,18.56,18.14,10.97,13.41,14.04,10.04,8.76,7.06,5.42,2.8,
