Key Revenue %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,,-9.21,18.09,-1.53,18.29,-15.92,11.32,-8.15,-40.63,-1.87,
3-Year Average,,,,1.82,11.21,-0.69,3.45,-4.92,-15.33,-18.82,
5-Year Average,,,,,,0.98,5.18,0.03,-9.6,-12.92,
10-Year Average,,,,,,,,,,,
