Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,82.68,87.59,85.02,84.37,86.45,86.97,83.75,86.78,82.94,83.39,83.85
Gross Margin,17.32,12.41,14.98,15.63,13.55,13.03,16.25,13.22,17.06,16.61,16.15
SG&A,12.28,14.77,11.2,9.24,8.03,8.63,7.39,8.22,7.02,8.03,8.11
R&D,,,,,,,,,,,
Other,,,,,,,,4.77,4.93,5.87,5.91
Operating Margin,5.04,-2.36,3.77,6.4,5.53,4.4,8.86,0.23,5.11,2.71,2.12
Net Int Inc & Other,-7.22,-7.64,-1.54,-0.85,0.87,1.32,0.92,0.63,1.74,1.77,1.21
EBT Margin,-2.17,-9.99,2.24,5.54,6.4,5.72,9.78,0.86,6.85,4.48,3.34
