Key Profitability,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Tax Rate %,,,,,,,,,,,
Net Margin %,,,,,,,,-47.3,-71.11,-51.66,-65.45
Asset Turnover (Average),,,,,,,,0.47,0.48,0.34,0.28
Return on Assets %,,,,,,,,-22.43,-34.07,-17.6,-18.09
Financial Leverage (Average),,,,,,,,2.17,2.38,1.2,1.21
Return on Equity %,,,,,,,,-48.65,-77.47,-24.84,-21.9
Return on Invested Capital %,,,,,,,,-19.37,-38.64,-19.64,-21.09
Interest Coverage,,,,,,,,-2.04,-7.32,-11.31,-56.37
