Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,107.76,,,,-42.92,509.1,-62.67,-3.25,58.85,-19.54,
3-Year Average,58.45,,,-24.69,,,9.08,30.06,-16.91,7.33,
5-Year Average,32.72,,,20.73,-12.72,8.23,,,14.81,22.97,
10-Year Average,5.74,,,9.74,-6.49,19.85,,7.87,17.73,3.6,
