Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,88.76,96.2,95.28,90.16,88.69,87.31,86.11,85.38,78.46,79.47,81.43
Gross Margin,11.24,3.8,4.72,9.84,11.31,12.69,13.89,14.62,21.54,20.53,18.57
SG&A,4.32,2.36,2.76,2.12,1.91,2.0,1.97,1.77,2.53,2.85,2.64
R&D,1.34,0.38,0.47,0.37,0.41,0.38,0.34,0.28,0.31,0.34,0.31
Other,0.12,12.75,0.47,0.19,,,,,,,
Operating Margin,5.46,-11.69,1.03,7.15,9.0,10.31,11.58,12.58,18.7,17.34,15.61
Net Int Inc & Other,0.04,-4.45,-14.92,14.88,-1.67,-1.08,-0.24,-0.05,0.27,0.59,0.11
EBT Margin,5.49,-16.14,-13.89,22.04,7.33,9.23,11.34,12.52,18.97,17.93,15.72
