Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,,,,,,,,,,,
Free Cash Flow Growth % YOY,,,,,,,,,,,
Cap Ex as a % of Sales,,3.24,,,,,,,,,
Free Cash Flow/Sales %,-40.41,-0.48,,-583.33,-23.26,-5.47,-16.67,-5.07,0.26,-12.17,-14.5
Free Cash Flow/Net Income,0.61,-0.11,0.87,0.26,5.59,-2.15,6.91,-0.48,0.02,0.99,4.27
