Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,56.31,61.92,56.25,58.23,59.61,62.37,65.81,64.33,61.63,57.34,55.89
Gross Margin,43.69,38.08,43.75,41.77,40.39,37.63,34.19,35.67,38.37,42.66,44.11
SG&A,,,,,,,,,8.66,7.84,7.33
R&D,,,,,,,,,,,
Other,5.59,35.1,37.26,31.1,25.57,28.6,34.12,37.27,24.54,23.21,22.78
Operating Margin,12.88,9.8,9.38,13.13,17.01,11.29,2.2,1.18,7.64,13.88,16.34
Net Int Inc & Other,-0.9,-1.17,-0.93,-0.85,-0.56,,,-0.78,-0.19,-0.08,-0.1
EBT Margin,11.98,8.63,8.45,12.28,16.45,11.29,2.2,0.39,7.45,13.81,16.25
