Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,103.08,,,,10.3,-32.68,72.1,23.19,-55.84,,-12.86
3-Year Average,48.38,,,-33.46,,,8.52,12.59,-2.17,,
5-Year Average,37.76,,,-5.38,-7.98,-26.21,,,-7.01,,
10-Year Average,40.98,,,2.12,6.78,0.82,2.97,4.24,-6.2,,
