Key Profitability,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Tax Rate %,,,,,,,,,,,
Net Margin %,,,-556.79,-470.57,,,,,,,
Asset Turnover (Average),,,0.1,0.27,,,,,,,
Return on Assets %,-33.92,-24.82,-57.45,-126.76,-86.53,-60.94,-24.77,-31.04,-31.38,-18.71,-18.71
Financial Leverage (Average),1.02,1.02,1.14,1.28,1.4,1.05,1.16,1.72,1.95,2.01,2.01
Return on Equity %,-34.23,-25.22,-61.61,-148.91,-114.68,-70.65,-27.43,-44.16,-56.92,-37.07,-37.07
Return on Invested Capital %,-39.11,-27.81,-63.16,-150.75,-116.04,-74.6,-29.44,-45.54,-57.84,-36.5,-36.5
Interest Coverage,,,,,,,-137.19,-741.54,-178.43,-30.0,-30.0
