Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,34.25,,,,44.95,-6.29,29.5,5.93,-5.59,-79.63,125.64
3-Year Average,8.28,,-49.86,7.81,,162.71,20.71,8.73,9.0,-41.16,
5-Year Average,,,-34.65,8.05,19.51,11.22,,90.17,11.96,-24.39,
10-Year Average,8.56,,-15.69,13.25,21.64,,12.93,11.48,9.98,-4.94,
