Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,,,,-15.41,-13.0,44.71,69.79,-3.03,
3-Year Average,,,,,,,,2.12,28.82,33.56,
5-Year Average,,,,,,,,,,11.89,
10-Year Average,,,,,,,,,,,
