Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,-2.94,6.06,11.43,2.56,40.0,,16.07,36.62,-9.46,7.46,52.94
3-Year Average,-21.42,-13.99,4.68,6.62,16.96,12.82,17.57,16.61,12.81,9.95,
5-Year Average,-6.43,-13.43,-10.52,-6.17,10.49,11.16,13.18,17.89,14.98,9.06,
10-Year Average,,,,,,1.99,-1.02,2.7,3.87,9.78,
