Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,,,,-97.67,,83.33,17.27,170.54,93.9
3-Year Average,,,,,,,,36.76,405.28,79.84,
5-Year Average,,,,,,,,,,52.01,
10-Year Average,,,,,,,,,,,
