Key Margins % of Sales,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,44.74,44.25,41.25,42.01,43.79,42.93,41.7,40.64,39.93,40.37,40.37
Gross Margin,55.26,55.75,58.75,57.99,56.21,57.07,58.3,59.36,60.07,59.63,59.63
SG&A,40.46,39.68,39.01,37.13,35.55,35.14,34.23,34.48,34.83,35.23,35.23
R&D,,,,,,,,,,,
Other,11.04,11.58,7.87,6.09,5.62,24.12,5.34,6.09,5.67,5.93,5.93
Operating Margin,4.85,5.75,13.26,14.77,15.04,-2.19,18.73,18.79,19.57,18.47,18.47
Net Int Inc & Other,-0.43,-0.02,0.16,0.71,0.46,0.64,0.48,1.58,0.13,0.82,0.82
EBT Margin,4.43,5.73,13.42,15.48,15.51,-1.55,19.21,20.37,19.7,19.29,19.29
