Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,19.12,10.19,0.63,13.29,3.01,16.86,18.38,20.8,15.77,31.49,14.92
3-Year Average,13.09,11.49,9.72,7.9,5.5,10.89,12.53,18.67,18.3,22.51,
5-Year Average,12.2,4.65,9.91,9.58,9.04,8.62,10.19,14.29,14.79,20.53,
10-Year Average,,,,,20.45,10.4,7.39,12.08,12.15,14.64,
