Key Net Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,,,,-90.97,,,155.88,-4.79,,,
3-Year Average,,,,,,-13.68,163.2,,,18.67,
5-Year Average,,,57.98,-16.36,,,,9.4,,,
10-Year Average,,,2.09,,,,34.5,31.46,,,
