Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,14.76,11.32,11.29,6.46,1.94,0.66,2.64,4.99,17.39,0.34,3.43
3-Year Average,9.65,13.24,12.44,9.66,6.49,2.99,1.74,2.75,8.15,7.34,
5-Year Average,8.62,9.6,10.31,11.46,9.06,6.24,4.53,3.32,5.36,5.02,
10-Year Average,13.1,8.4,6.88,6.94,6.94,7.42,7.04,6.75,8.36,7.02,
