Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,743.76,91.19,-40.9,31.76,211.54,6.05,-18.51,-1.87,-49.58,-88.77,-61.39
3-Year Average,59.15,103.79,112.05,14.19,34.37,63.28,39.12,-5.35,-26.13,-61.84,
5-Year Average,,,35.43,45.81,108.22,37.52,15.96,28.34,5.9,-45.51,
10-Year Average,,,,,,,,31.83,24.26,6.51,
