Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,,,31.17,30.8,31.56,32.52,30.3,30.91,30.0,29.55,29.76
Gross Margin,,,68.96,69.3,68.53,67.58,69.76,69.09,70.0,70.45,70.24
SG&A,,,,,,,,12.49,3.14,3.65,3.52
R&D,,,,,,,,,,,
Other,,,58.67,55.77,54.06,56.95,56.53,44.13,54.51,55.12,54.67
Operating Margin,,,12.77,15.72,16.82,13.13,14.72,13.98,16.21,15.15,15.51
Net Int Inc & Other,,,-2.96,-2.34,-1.83,,,,-0.27,-0.26,12.03
EBT Margin,,,9.81,13.39,14.99,13.13,14.72,13.98,15.94,14.89,27.55
