Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,-5.53,,,22.56,94.79,20.7,17.56,-21.94,16.62,-12.69,114.55
3-Year Average,-11.76,,-22.17,-15.12,,42.3,40.34,3.46,2.29,-7.37,
5-Year Average,-8.77,,-19.27,-15.7,2.39,7.53,,21.47,20.27,2.43,
10-Year Average,9.79,,-2.87,-3.0,1.03,-0.95,0.2,-0.98,0.69,2.41,
