Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,-5.19,-5.77,44.4,1.02,17.09,9.79,1.95,-6.79,81.72
3-Year Average,,,,,8.86,11.19,19.53,9.1,9.44,1.42,
5-Year Average,,,,,,,8.82,12.06,13.84,4.3,
10-Year Average,,,,,,,,,,,
