Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,-29.34,-50.88,,,,36.08,-44.55,104.61,82.68,-52.34,
3-Year Average,19.96,-18.15,,,25.23,,,15.58,27.5,21.23,
5-Year Average,,29.58,,,-7.38,5.59,8.19,,,6.1,
10-Year Average,33.83,,,,20.02,,18.4,9.9,11.75,-0.87,
