Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,49.65,48.48,49.11,46.56,45.82,44.15,41.85,40.78,39.58,38.46,37.92
Gross Margin,50.4,51.52,50.89,53.44,54.18,55.85,58.15,59.22,60.42,61.54,62.08
SG&A,29.5,30.44,31.6,31.89,30.57,30.54,32.13,31.06,31.73,33.72,35.84
R&D,,,,,,,,,,,
Other,0.05,,,,,,,,,,
Operating Margin,20.85,21.08,19.29,21.55,23.62,25.31,26.01,28.16,28.69,27.83,26.24
Net Int Inc & Other,-2.6,-2.49,-2.71,-2.76,-1.99,-2.37,-2.72,-2.2,-0.71,-3.01,-3.71
EBT Margin,18.25,18.59,16.58,18.79,21.63,22.94,23.29,25.96,27.98,24.82,22.53
