Key Revenue %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,49.26,55.2,25.18,17.11,17.49,24.91,4.7,12.57,19.19,26.46,
3-Year Average,44.48,43.15,42.6,31.53,19.87,19.78,15.39,13.76,12.0,19.27,
5-Year Average,59.87,53.23,42.42,33.88,31.89,27.27,17.64,15.16,15.57,17.28,
10-Year Average,,,,,,42.64,34.26,28.07,24.39,24.37,
