Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,8.83,9.27,-2.73,2.8,5.45,1.72,,25.14,-17.26,22.22,
3-Year Average,16.41,14.65,4.97,3.0,1.79,3.32,2.37,8.38,1.17,8.17,
5-Year Average,18.75,17.79,10.89,8.55,4.63,3.23,1.41,6.65,2.12,5.18,
10-Year Average,16.95,19.31,3.41,8.44,10.15,10.72,9.29,8.75,5.29,4.91,
