Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,,,,692.51,,,,186.01,229.59,252.17,
Free Cash Flow Growth % YOY,,,,683.8,,,,,,204.76,
Cap Ex as a % of Sales,3.35,17.81,4.18,2.42,4.02,0.96,1.2,5.45,3.45,10.88,7.17
Free Cash Flow/Sales %,-272.49,,129.21,55.23,-175.23,-32.88,1.38,-0.32,8.03,16.68,-0.77
Free Cash Flow/Net Income,1.08,0.79,-0.06,-2.95,0.89,2.2,-0.06,0.03,9.27,1.77,0.07
